plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
194,105.22,30.27,Sichuan,Southwest_China,0.134555,-31.116,10.568115
471,110.3,23.47,Guangxi,Central_South_China,0.080834,-31.095,10.648949
75,118.63,39.5,Hebei,North_China,0.198181,-30.812,10.84713
27,118.8,36.8,Shandong,East_China,0.234304,-30.351,11.081434
385,110.54,22.85,Guangxi,Central_South_China,0.08852,-30.011,11.169954
252,109.77,23.06,Guangxi,Central_South_China,0.117206,-30.006,11.28716
359,114.67,25.68,Jiangxi,East_China,0.092464,-29.993,11.379624
492,82.21,43.42,Xinjiang,Northwest_China,0.086883,-29.965,11.466507
157,112,27.7,Hunan,Central_South_China,0.142838,-29.199,11.609345
269,104.78,30.75,Sichuan,Southwest_China,0.118704,-29.184,11.728049
424,108.07,34.36,Shaanxi,Northwest_China,0.092033,-28.897,11.820082
222,116.01,39.45,Hebei,North_China,0.130033,-28.661,11.950115
198,114.84,30.27,Hubei,Central_South_China,0.129333,-28.635,12.079448
137,112.24,22.61,Guangdong,Central_South_China,0.139739,-28.342,12.219187
335,107.64,31.04,Sichuan,Southwest_China,0.102568,-28.095,12.321755
295,105.8,31.02,Sichuan,Southwest_China,0.112748,-27.972,12.434503
491,109.22,21.66,Guangxi,Central_South_China,0.078765,-27.37,12.513268
199,113.93,35.71,Henan,Central_South_China,0.129615,-27.188,12.642883
261,103.8,29.99,Sichuan,Southwest_China,0.11926,-27.167,12.762143
212,113.08,28.82,Hunan,Central_South_China,0.127386,-27.146,12.889529
232,105.53,29.03,Sichuan,Southwest_China,0.124726,-26.901,13.014255
136,119.07,39.77,Hebei,North_China,0.158734,-26.746,13.172989
416,104.56,28.82,Sichuan,Southwest_China,0.090641,-26.692,13.26363
486,118.37,35.03,Shandong,East_China,0.082695,-26.178,13.346325
417,112.02,37.21,Shanxi,North_China,0.092804,-26.08,13.439129
436,107.06,31.75,Sichuan,Southwest_China,0.089834,-25.66,13.528963
248,106.11,31.4,Sichuan,Southwest_China,0.123521,-25.59,13.652484
434,117.85,40.06,Hebei,North_China,0.091023,-25.347,13.743507
348,112.26,25.57,Hunan,Central_South_China,0.097076,-24.966,13.840583
398,105.25,31.09,Sichuan,Southwest_China,0.094387,-24.867,13.93497
429,113.13,26.08,Hunan,Central_South_China,0.085967,-24.777,14.020937
456,111.45,30.03,Hubei,Central_South_China,0.08606,-24.681,14.106997
340,114.22,36.49,Hebei,North_China,0.103982,-24.401,14.210979
452,113.05,39.6,Shanxi,North_China,0.092882,-24.371,14.303861
357,123.17,41.34,Liaoning,Northeast_China,0.096589,-24.333,14.40045
25,115.26,37.99,Hebei,North_China,0.238583,-23.888,14.639033
272,112.64,27.34,Hunan,Central_South_China,0.113478,-23.785,14.752511
347,104.98,28.55,Sichuan,Southwest_China,0.100732,-23.752,14.853243
388,105.17,31.66,Sichuan,Southwest_China,0.094785,-23.695,14.948028
254,105,29.04,Sichuan,Southwest_China,0.122768,-23.638,15.070796
253,115.92,28.84,Jiangxi,East_China,0.1173,-23.61,15.188096
291,105.96,30.5,Sichuan,Southwest_China,0.113853,-23.427,15.301949
190,106.44,30.47,Sichuan,Southwest_China,0.135316,-23.384,15.437265
453,117.84,36.7,Shandong,East_China,0.087098,-23.367,15.524363
249,107.07,30.91,Sichuan,Southwest_China,0.123232,-23.257,15.647595
229,114.49,36.82,Hebei,North_China,0.126491,-23.208,15.774086
241,117,25.09,Fujian,East_China,0.108985,-23.025,15.883071
204,111.45,27.72,Hunan,Central_South_China,0.128923,-22.789,16.011994
217,113.59,34.87,Henan,Central_South_China,0.129138,-22.733,16.141132
392,118.21,39.47,Hebei,North_China,0.095455,-22.602,16.236587
428,106.9,30.47,Sichuan,Southwest_China,0.088949,-22.459,16.325536
173,116.71,28.25,Jiangxi,East_China,0.135598,-22.429,16.461134
293,106.63,31.24,Sichuan,Southwest_China,0.113294,-22.229,16.574428
362,114.49,23.34,Guangdong,Central_South_China,0.089778,-22.21,16.664206
35,116.07,28.46,Jiangxi,East_China,0.213162,-22.142,16.877368
292,114.37,38.43,Hebei,North_China,0.11568,-21.939,16.993048
230,112.47,28.05,Hunan,Central_South_China,0.1228,-21.682,17.115848
299,104.44,29.96,Sichuan,Southwest_China,0.112499,-21.268,17.228347
120,117.89,39.71,Hebei,North_China,0.170736,-21.197,17.399083
192,115.39,27.96,Jiangxi,East_China,0.131841,-20.492,17.530924
290,120.54,41.74,Liaoning,Northeast_China,0.112361,-20.446,17.643285
319,105.35,29.48,Chongqing,Southwest_China,0.106484,-20.396,17.749769
56,120.25,32.25,Jiangsu,East_China,0.203704,-20.198,17.953473
296,103.75,29.52,Sichuan,Southwest_China,0.109979,-19.569,18.063452
303,113.34,27.59,Hunan,Central_South_China,0.107252,-19.048,18.170704
102,113.81,34.48,Henan,Central_South_China,0.176111,-17.942,18.346815
354,107.65,30.07,Chongqing,Southwest_China,0.098812,-17.856,18.445627
445,119.05,34.89,Jiangsu,East_China,0.085717,-17.619,18.531344
170,116.46,39.3,Hebei,North_China,0.148799,-17.232,18.680143
458,122.46,40.59,Liaoning,Northeast_China,0.085696,-16.789,18.765839
316,76.02,39.35,Xinjiang,Northwest_China,0.111413,-16.7,18.877252
469,106.01,28.97,Chongqing,Southwest_China,0.085411,-16.165,18.962663
237,112.3,26.43,Hunan,Central_South_China,0.119473,-16.05,19.082136
484,108.94,23.21,Guangxi,Central_South_China,0.079762,-15.918,19.161898
301,112,28.67,Hunan,Central_South_China,0.108477,-15.823,19.270375
155,115.16,38.47,Hebei,North_China,0.154878,-15.724,19.425253
447,113,36.03,Shanxi,North_China,0.090256,-15.7,19.515509
391,106.56,31.73,Sichuan,Southwest_China,0.096727,-15.647,19.612236
